Metadata_Group,AreaShape_Compactness,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,Intensity_MaxIntensity_origImage,Intensity_MeanIntensity_origImage,Intensity_MinIntensity_origImage,Class
6,12.17233179,385.87562760000003,12.16552506,129.2027618,124.68445449999999,0.003921569000000001,0.0020862579999999997,0.000799692,MHC
6,1.9259076069999999,94.81033699,14.422205100000001,45.84501381,38.05147399,0.002891196,0.002052672,0.0013225679999999999,HWJC
6,1.875393006,53.31041174,8.485281374,21.91346618,18.90494604,0.0025836220000000003,0.0020937029999999997,0.0012764319999999999,HWJC
6,8.015011011,329.6073422,18.97366596,74.20505018,53.85115675,0.003921569000000001,0.002123794,0.00083045,MHC
6,1.459905321,41.61730409,8.062257748,17.19041433,16.96322321,0.003921569000000001,0.002248996,0.000768935,HWJC
6,1.113147724,77.16216690000002,24.04163056,55.68577914,53.21885479,0.003921569000000001,0.002063575,0.000799692,HWJC
6,2.8177382680000003,67.47592163,7.280109888999999,18.27736314,16.09182497,0.003921569000000001,0.002514104,0.000230681,HWJC
6,3.73578961,114.5425685,10.44030651,40.71004049,31.76202497,0.003921569000000001,0.002204556,0.00018454400000000003,HWJC
6,1.560731154,75.2861209,17.11724277,45.30282722,40.03921541,0.003921569000000001,0.002079084,0.000292195,HWJC
6,1.4881484530000002,45.31004304,8.94427191,17.91135153,18.24471842,0.003921569000000001,0.0024825760000000002,0.000445982,HWJC
6,1.467721361,47.16990566,11.0,22.7158027,22.64028565,0.003921569000000001,0.002317916,0.000276817,HWJC
6,7.646559792000001,149.9133083,6.708203932000001,22.28434274,18.87561083,0.003921569000000001,0.002110087,0.0005690119999999999,MHC
6,14.96835612,245.5402207,9.219544457000001,33.41758443,32.05143199,0.003183391,0.00200624,0.0009688580000000001,MHC
6,4.172284059,106.976633,8.0,37.176452000000005,24.30623593,0.003291042,0.002037404,0.000799692,HWJC
6,2.201342943,72.277244,9.486832981000001,24.20680133,20.42597382,0.002983468,0.001947586,0.0007843139999999999,HWJC
2,10.5308625,275.8350957,9.848857802000001,46.97264294,47.3035539,0.003921569000000001,0.002232098,0.000553633,MHC
2,1.148953955,92.19544457,28.63564213,76.02631123,73.82034162,0.003921569000000001,0.002271798,0.00070742,HWJC
2,2.3363784819999998,117.38824469999999,15.0,34.06603068,29.14215078,0.003921569000000001,0.002182692,0.000722799,HWJC
2,8.592932733,273.3861738,14.31782106,42.86014848,29.9641858,0.003921569000000001,0.002252853,0.000922722,MHC
2,8.822898102,375.1333096,18.78829423,105.2206875,82.18367877,0.003921569000000001,0.002445831,9.23e-05,MHC
2,1.819843965,100.70253220000001,19.0,41.01219331,32.61195781,0.003921569000000001,0.002431377,0.000430604,HWJC
2,12.84703433,343.7266356,16.55294536,62.13615136,49.11800197,0.003921569000000001,0.002290532,0.000645905,MHC
2,2.539708787,133.8431918,15.8113883,57.610318500000005,49.90406571,0.003921569000000001,0.002180159,0.000645905,HWJC
2,3.7472346180000002,200.4120755,18.43908891,121.64852079999999,91.04976627,0.003921569000000001,0.002153002,7.69e-05,MHC
