Metadata_Day,Metadata_Group,AreaShape_Area,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_origImage,Intensity_IntegratedIntensity_origImage,Intensity_LowerQuartileIntensity_origImage,Intensity_MADIntensity_origImage,Intensity_MassDisplacement_origImage,Intensity_MaxIntensityEdge_origImage,Intensity_MaxIntensity_origImage,Intensity_MeanIntensityEdge_origImage,Intensity_MeanIntensity_origImage,Intensity_MedianIntensity_origImage,Intensity_MinIntensityEdge_origImage,Intensity_MinIntensity_origImage,Intensity_StdIntensityEdge_origImage,Intensity_StdIntensity_origImage,Intensity_UpperQuartileIntensity_origImage,Class
10,6,5927,7.007611917,0.987164408,1,0.13518075,0.131443359,320.4511704,277.9136557,14.86606875,5.248816047,5,63.22750414,51.1784004,37.21836415,752.754,0.444302849,1.306020856,13.19987753,0.001768551,0.000415225,1.285944202,0.002860438,0.003921569,0.002176701,0.002227076,0.002183776,0.001245675,0.000430604,0.000177639,0.000758207,0.002599,MHC
10,6,2744,3.175320591,0.947575375,1,0.302769502,0.11324801,141.6468646,160.6393476,13.60147051,4.06359545,3.16227766,54.55880672,45.26075244,9.910726918,551.8,0.488691006,0.949219594,6.076078695,0.001814687,0.000369089,0.243626664,0.002645137,0.003921569,0.002202366,0.002214314,0.002260669,0.001030373,0.000307574,0.000214307,0.000702678,0.002552864,HWJC
4,6,4456,14.47894456,0.997137463,1,0.107820364,0.060986237,403.269668,355.844067,12.72792206,3.455916177,3,50.06055948,30.49124134,-71.27779182,958.212,0.358041059,1.677677946,9.553787468,0.001830065,0.000276817,1.8018402,0.002522107,0.003921569,0.002187325,0.002144028,0.002229912,0.00118416,0.000876586,0.000127645,0.000547842,0.002445213,MHC
4,6,4821,7.766460574,0.911424549,1,0.128827962,0.092457296,284.953466,242.9917694,19.72308292,4.830973649,4.123105626,116.3448059,117.2490166,-39.44610048,809.474,0.263277176,1.214056254,9.875264356,0.00201461,3.08E-05,0.772510503,0.002552864,0.002552864,0.002050771,0.002048385,0.002045367,0.001245675,0.001245675,7.41E-05,5.34E-05,0.002076125,MHC
4,6,6963,12.17233179,0.960208984,1,0.102117737,0.046151151,446.4456642,385.8756276,12.16552506,3.652783899,3.16227766,129.2027618,124.6844545,67.17660519,1376.93,0.199905258,2.265005982,14.52661422,0.002045367,3.08E-05,0.664373128,0.003629373,0.003921569,0.002091418,0.002086258,0.002076125,0.001460977,0.000799692,0.000115682,9.82E-05,0.002122261,MHC
4,6,1998,1.925907607,0.908904185,1,0.370686456,0.207248848,91.24943964,94.81033699,14.4222051,4.814829758,4,45.84501381,38.05147399,-41.06244204,348.062,0.65561936,0.546989671,4.101238383,0.00201461,3.08E-05,0.11252116,0.002691273,0.002891196,0.002041006,0.002052672,0.002045367,0.001399462,0.001322568,0.000123811,9.85E-05,0.002076125,HWJC
4,6,755,1.875393006,0.943318072,1,0.457575758,0.361149686,56.96147028,53.31041174,8.485281374,3.546349284,3.16227766,21.91346618,18.90494604,-25.3995742,162.082,0.795574289,0.26963478,1.58074601,0.002060746,4.61E-05,0.01554022,0.002399077,0.002583622,0.002106522,0.002093703,0.002091503,0.001399462,0.001276432,0.000124277,0.000132917,0.00213764,HWJC
6,6,6368,8.015011011,0.988471308,1,0.11239366,0.06961354,355.6684533,329.6073422,18.97366596,4.814174919,4,74.20505018,53.85115675,35.85110044,1072.16,0.412916613,1.780992072,13.52432206,0.001783929,0.000292195,3.897744993,0.002429835,0.003921569,0.002143191,0.002123794,0.002153018,0.001245675,0.00083045,0.000119599,0.0005405,0.002383699,MHC
6,6,552,1.459905321,0.914875594,1,0.528735632,0.518181882,42.0156463,41.61730409,8.062257748,3.600010178,3.16227766,17.19041433,16.96322321,54.62878068,115.7,0.920767306,0.185144192,1.241445657,0.00189158,0.000307574,0.051978767,0.002322184,0.003921569,0.002103911,0.002248996,0.002168397,0.001906959,0.000768935,8.30E-05,0.00065619,0.002506728,HWJC
6,6,3071,1.113147724,0.718460503,1,0.67882405,0.507548488,76.51138828,77.1621669,24.04163056,8.706430828,7.810249676,55.68577914,53.21885479,-83.35407001,275.744,0.90058651,0.465467166,6.33723995,0.001937716,0.000107651,0.224367432,0.002399077,0.003921569,0.002125421,0.002063575,0.002045367,0.001368704,0.000799692,0.00011675,0.00028058,0.002153018,HWJC
8,6,809,2.817738268,0.976324012,1,0.294825073,0.321924628,74.3913041,67.47592163,7.280109889,3.154143225,2.828427125,18.27736314,16.09182497,-36.69721684,177.706,0.806580259,0.320707439,2.033910109,0.001972319,0.000599769,0.743003425,0.003152634,0.003921569,0.002290767,0.002514104,0.002537486,0.001353326,0.000230681,0.000257813,0.000931414,0.003168012,HWJC
8,6,2010,3.73578961,0.971650633,1,0.286896945,0.193122905,134.3450042,114.5425685,10.44030651,3.932411654,3.605551275,40.71004049,31.76202497,17.84213288,361.648,0.571509809,0.672264547,4.431157396,0.001622453,0.000553633,0.409001852,0.002752787,0.003921569,0.002302276,0.002204556,0.002199154,0.001199539,0.000184544,0.000273177,0.000834139,0.00272203,HWJC
8,6,1689,1.560731154,0.827941192,1,0.459591837,0.277129709,71.3947035,75.2861209,17.11724277,5.445378744,4.123105626,45.30282722,40.03921541,4.389675536,276.744,0.67250647,0.499869304,3.511572618,0.001768551,0.000322953,0.424889259,0.002921953,0.003921569,0.002261852,0.002079084,0.002045367,0.001214917,0.000292195,0.000336542,0.000531307,0.002414456,HWJC
8,6,631,1.488148453,0.915582668,1,0.586976744,0.582933041,45.37022202,45.31004304,8.94427191,3.854008152,3.605551275,17.91135153,18.24471842,-20.59384984,116.63,0.927259368,0.228050763,1.56650525,0.001691657,0.000815071,0.07798702,0.002768166,0.003921569,0.002351039,0.002482576,0.002460592,0.001245675,0.000445982,0.000202489,0.000995662,0.003321799,HWJC
8,6,854,1.467721361,0.899196727,1,0.59887798,0.50101032,51.74395358,47.16990566,11,4.245059268,4,22.7158027,22.64028565,71.94589208,146.356,0.839312039,0.279554031,1.979500267,0.001568627,0.000692041,0.678212293,0.002798924,0.003921569,0.002349194,0.002317916,0.002352941,0.001214917,0.000276817,0.000271342,0.000947321,0.002921953,HWJC
8,6,1550,7.646559792,0.993985931,1,0.215277778,0.133076563,172.3676559,149.9133083,6.708203932,2.829760343,2.828427125,22.28434274,18.87561083,75.80655519,382.578,0.556353195,0.665405671,3.27063455,0.001876201,0.000215302,1.132703234,0.003829296,0.003921569,0.002125897,0.002110087,0.00213764,0.001245675,0.000569012,0.000215001,0.000521933,0.002352941,MHC
8,6,2554,14.96835612,0.994629581,1,0.097018044,0.066494182,309.6793297,245.5402207,9.219544457,2.869063624,2.828427125,33.41758443,32.05143199,20.21301684,694.742,0.329378385,1.135747887,5.123937262,0.001814687,0.000169166,1.774393538,0.002414456,0.003183391,0.002061248,0.00200624,0.002060746,0.001353326,0.000968858,0.000137282,0.000349452,0.002214533,MHC
8,6,1377,4.172284059,0.978662568,1,0.309855986,0.139062413,118.2934689,106.976633,8,3.047533233,2.828427125,37.176452,24.30623593,75.97019144,352.75,0.501730734,0.567366446,2.805505728,0.001741638,0.000246059,0.606048328,0.002460592,0.003291042,0.002055676,0.002037404,0.002106882,0.001584006,0.000799692,0.000133726,0.000419851,0.002291427,HWJC
8,6,924,2.201342943,0.955106878,1,0.351732014,0.254076175,68.94576783,72.277244,9.486832981,3.539749852,3,24.20680133,20.42597382,17.53917241,213.776,0.727272727,0.330073071,1.799569491,0.001814687,0.00012303,0.274061171,0.002229912,0.002983468,0.001964721,0.001947586,0.001953095,0.001599385,0.000784314,0.000122921,0.000273689,0.002076125,HWJC
2,2,3651,10.5308625,0.988183941,1,0.155388151,0.076682157,308.6236223,275.8350957,9.848857802,3.419877441,3.16227766,46.97264294,47.3035539,-13.73339348,773.506,0.376702435,1.288550655,8.149389079,0.001860823,0.000322953,4.815723783,0.002583622,0.003921569,0.002133362,0.002232098,0.002229912,0.00141484,0.000553633,0.00015741,0.000669942,0.002522107,MHC
2,2,4064,1.148953955,0.387245296,1,0.549486209,0.527000348,80.06746772,92.19544457,28.63564213,9.833023988,8.602325267,76.02631123,73.82034162,-14.72945284,311.298,0.923531417,0.564459863,9.232587828,0.001783929,0.000445982,0.722005914,0.003060361,0.003921569,0.002196342,0.002271798,0.002229912,0.001322568,0.00070742,0.000210058,0.000699253,0.002675894,HWJC
2,2,2185,2.336378482,0.964304045,1,0.298905609,0.241233759,110.0544842,117.3882447,15,5.218085866,4.472135955,34.06603068,29.14215078,46.52040449,337.374,0.794401018,0.5417609,4.7691813,0.001830065,0.000307574,0.300745821,0.002537486,0.003921569,0.002175747,0.002182692,0.002183776,0.001691657,0.000722799,0.0001565,0.000579043,0.002460592,HWJC
2,2,4478,8.592932733,0.99534497,1,0.133079735,0.07806274,310.9082402,273.3861738,14.31782106,4.060313,3.605551275,42.86014848,29.9641858,26.83737808,849.034,0.457873211,1.400046242,10.08827431,0.001983853,0.000184544,1.246763765,0.002414456,0.003921569,0.002130968,0.002252853,0.002168397,0.001599385,0.000922722,0.000133395,0.000513671,0.00236832,MHC
4,2,8471,8.822898102,0.981342985,1,0.118108809,0.058211836,427.4493603,375.1333096,18.78829423,5.041689414,4,105.2206875,82.18367877,-64.22551748,1352.28,0.281391177,2.603521847,20.71863213,0.002106882,0.000322953,1.268367364,0.003367936,0.003921569,0.002428658,0.002445831,0.002445213,0.001491734,9.23E-05,0.000178222,0.00069793,0.002752787,MHC
4,2,2394,1.819843965,0.945331331,1,0.443826474,0.366585864,100.002494,100.7025322,19,6.721232183,6.403124237,41.01219331,32.61195781,52.12586568,286.47,0.8113879,0.454978878,5.820715361,0.002060746,0.000338331,0.771001914,0.002752787,0.003921569,0.002369682,0.002431377,0.002383699,0.001553249,0.000430604,0.000174857,0.000719249,0.002752787,HWJC
4,2,5604,12.84703433,0.993279347,1,0.088268649,0.079411062,424.3760718,343.7266356,16.55294536,4.348981162,3.605551275,62.13615136,49.11800197,41.42109135,941.702,0.360107955,1.553694855,12.83614052,0.001937716,0.00035371,1.819585787,0.002537486,0.003921569,0.002131269,0.002290532,0.00224529,0.001291811,0.000645905,0.00014073,0.00071164,0.002645137,MHC
4,2,2645,2.539708787,0.910486421,1,0.24738122,0.163834011,120.6756065,133.8431918,15.8113883,4.921443804,4.123105626,57.6103185,49.90406571,46.18478263,450.418,0.539025881,0.748696709,5.766520857,0.001876201,0.000276817,0.588361883,0.002475971,0.003921569,0.002151427,0.002180159,0.002183776,0.001399462,0.000645905,0.000164291,0.000605882,0.002429835,HWJC
9,2,5641,3.747234618,0.903938262,1,0.227093398,0.060951395,212.9007467,200.4120755,18.43908891,4.548261682,3.605551275,121.6485208,91.04976627,80.65670225,1078.428,0.325101576,1.913264251,12.14508316,0.001768551,0.000338332,0.372471191,0.003660131,0.003921569,0.002237736,0.002153002,0.002260669,0.001153403,7.69E-05,0.000202545,0.000578717,0.002506728,MHC
9,2,7643,2.396439172,0.963036936,1,0.40507738,0.263715979,208.1239127,214.3944962,29.68164416,9.732942405,8.246211251,66.89274493,56.06220841,12.25574754,603.488,0.715837782,1.105236515,16.48229212,0.001795463,0.00035371,0.097267527,0.003244906,0.003921569,0.002232801,0.002156521,0.002153018,0.000968858,0,0.000291893,0.000593812,0.00249135,MHC
2,3,3711,11.4193739,0.991599263,1,0.164378101,0.059825135,325.0779841,275.7462602,9.219544457,3.246232617,3,49.94694289,42.048183,-82.70730647,882.894,0.302815177,1.511587961,8.380208027,0.001937716,0.000276817,0.860843409,0.002599,0.003921569,0.002144096,0.002258207,0.00224529,0.001091888,0.000230681,0.000170196,0.000696083,0.002506728,MHC
2,3,1781,2.292504981,0.962821544,1,0.532595694,0.329623594,98.30425983,92.35799911,13.41640786,4.960617313,4.472135955,31.62982922,26.5557408,-9.95451251,260.572,0.751952713,0.420284537,3.717677999,0.001814687,0.000246059,0.504649964,0.002383699,0.003352557,0.002155305,0.00208741,0.002091503,0.001261053,0.000615148,0.000156448,0.000427477,0.002322184,HWJC
2,3,1756,4.100517578,0.962003899,1,0.310357017,0.087673917,130.4146714,122.4948979,7.071067812,2.657179656,2.236067977,43.22955261,35.60786214,-3.329283533,501.686,0.477888148,0.890165382,3.623544983,0.001783929,0.00023068,0.06214091,0.002829681,0.002875817,0.002176443,0.002063522,0.00213764,0.001522491,0.001153403,0.000188276,0.000338472,0.002306805,HWJC
2,3,1580,2.152560277,0.965073117,1,0.550330895,0.368726037,89.91182519,88.07383266,12,4.837582049,4.472135955,26.94851562,23.55516137,8.874744621,232.05,0.869325997,0.408396801,3.593556469,0.001753172,0.000461361,0.18605214,0.002506728,0.003921569,0.002149457,0.002274403,0.00224529,0.001522491,0.000661284,0.000156403,0.00074549,0.002675894,HWJC
2,3,4068,8.121138202,0.984110793,1,0.207816092,0.066528191,284.9752184,260.6933064,12.04159458,3.554583151,3,71.82355888,50.59891023,3.056371727,876.582,0.364271323,1.491933985,8.995555988,0.001830065,0.000292195,5.035288707,0.00342945,0.003921569,0.002152863,0.002211297,0.002168397,0.001399462,0.000722799,0.000167983,0.000645358,0.002414456,MHC
4,3,6099,8.563259061,0.984236182,1,0.11234527,0.061194019,358.3233495,302.6169196,14.31782106,4.270083838,3.605551275,79.02433141,63.372742,50.50055264,1119.128,0.353739524,1.924506082,13.38591366,0.001753172,0.000384467,0.603219361,0.003921569,0.003921569,0.002235199,0.002194772,0.002276048,0.000415225,0.000169166,0.000255578,0.000697647,0.002552864,MHC
4,3,2213,1.318158548,0.705510188,1,0.482345248,0.395532167,70.25125848,77.62087348,19.31320792,6.509646842,5.830951895,54.3775972,49.78705128,33.71847603,265.158,0.790357143,0.455209565,5.112018645,0.001722415,0.000522876,0.052235816,0.003490965,0.003921569,0.002209755,0.002309995,0.002291427,0.000384468,0.000307574,0.000277235,0.000790841,0.002783545,HWJC
4,3,13609,2.975622979,0.763624199,1,0.13275519,0.033267694,269.2134872,374.3647954,36.05551275,8.619853379,5.656854249,243.6841704,173.8206402,-48.01809055,2267.288,0.212150028,3.503683445,27.68905949,0.001799308,0.000215302,0.843582512,0.002460592,0.003921569,0.002046544,0.002034614,0.002029989,0.000876586,0.000645905,0.000202156,0.000410967,0.002229912,MHC
4,3,5457,1.045030177,0.630440512,1,0.698540707,0.590355581,95.06060875,97.59098319,35.11409973,12.83009923,11.3137085,74.26508718,73.78961569,29.98322872,340.82,0.941917666,0.570534454,11.04084645,0.001876201,0.000138409,0.264602309,0.002352941,0.003798539,0.002120946,0.002023245,0.001999231,0.001599385,0.000861207,0.000138408,0.000262197,0.002153018,MHC
9,3,11551,1.966672685,0.825804942,1,0.322852032,0.114454766,209.0873111,254.6212874,32.64965543,9.326224881,7,138.704071,117.9160117,-45.29634095,1126.154,0.522102694,1.729196601,24.03340367,0.001783929,0.000261438,2.05573052,0.002706651,0.003921569,0.002058567,0.002080634,0.002029989,0.001199539,0.000645905,0.000156951,0.000508759,0.002306805,MHC
9,3,1542,2.710715973,0.972657739,1,0.333983106,0.341837122,100.3553849,90.42676595,12.20655562,4.399930041,4.123105626,29.60997539,23.30685987,-26.59260467,238.088,0.795665635,0.389081156,3.651918646,0.001860823,0.000507497,0.794679592,0.002352941,0.003921569,0.002069581,0.0023683,0.002276048,0.00083045,0.00070742,0.000146703,0.000827335,0.002891196,HWJC
9,3,3465,6.222823338,0.987830885,1,0.13803681,0.108508495,231.0678343,210.793738,13.34166406,4.138706127,3.605551275,52.71287106,35.93839757,-41.4199001,633.468,0.443463237,1.003183467,7.469788855,0.001691657,0.000415225,1.462791267,0.002983468,0.003921569,0.002081294,0.002155783,0.002168397,0.000984237,0.000692042,0.000195959,0.00066973,0.002537486,MHC
2,4,3407,2.740696182,0.979104775,1,0.281105611,0.239042026,150.8399751,151.3439791,15.65247584,5.934394048,5.656854249,37.61235335,30.67427939,52.56571568,423.208,0.788201272,0.657562524,7.480400243,0.001922338,0.000215302,1.835267603,0.002783545,0.003921569,0.002177359,0.002195597,0.00213764,0.001645521,0.000891965,0.000145146,0.000515463,0.002352941,HWJC
2,4,6112,9.739200602,0.987406249,1,0.234337858,0.077380917,383.6981812,323.1253627,15.03329638,4.748550518,4,72.21889295,60.70306435,-88.90932442,996.276,0.315506917,1.73960797,13.39752469,0.001876201,0.000276817,1.539637831,0.003921569,0.003921569,0.002216061,0.002192003,0.002183776,0.001445598,0.000645905,0.000278412,0.000589831,0.002429835,MHC
4,4,7427,3.631720099,0.895130495,1,0.208559153,0.100071001,238.8864158,267.6863837,24.16609195,7.225410177,5.830951895,114.3579042,106.4965709,69.42886389,965.734,0.41400262,1.911649435,18.69207298,0.002291427,0.000215302,0.487729934,0.003029604,0.003921569,0.002538711,0.002516773,0.002506728,0.001630142,0.000415225,0.000177161,0.000520541,0.00272203,MHC
4,4,4839,2.371476475,0.961901324,1,0.294253573,0.225145564,164.594137,163.9756079,21.47091055,7.361697884,6.403124237,49.93307536,44.99952003,39.78317038,519.698,0.707818328,1.016670553,12.21819345,0.002214533,0.000292195,0.522381594,0.002998847,0.003921569,0.00249184,0.002524942,0.002522107,0.001768551,0.000430604,0.000180245,0.000544277,0.002783545,HWJC
