Metadata_Day,Metadata_Group,AreaShape_Area,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Intensity_IntegratedIntensityEdge_origImage,Intensity_IntegratedIntensity_origImage,Intensity_LowerQuartileIntensity_origImage,Intensity_MADIntensity_origImage,Intensity_MassDisplacement_origImage,Intensity_MaxIntensityEdge_origImage,Intensity_MaxIntensity_origImage,Intensity_MeanIntensityEdge_origImage,Intensity_MeanIntensity_origImage,Intensity_MedianIntensity_origImage,Intensity_MinIntensityEdge_origImage,Intensity_MinIntensity_origImage,Intensity_StdIntensityEdge_origImage,Intensity_StdIntensity_origImage,Intensity_UpperQuartileIntensity_origImage
4,3,6100,9.044056246,0.9957902790000001,1,0.36188894200000005,0.06933183700000001,372.419706,344.98985489999995,12.08304597,4.141235211000001,4.0,48.0,34.13632428,-89.14166982,1051.486,0.47015299200000005,1.87690901,13.49102705,0.0017377929999999998,0.000430604,3.240233356,0.00319877,0.003921569000000001,0.002247795,0.002211644,0.002306805,0.0011380239999999998,9.23e-05,0.000184457,0.000780228,0.002660515
4,3,1531,2.218010607,0.962461327,1,0.49740091,0.319026941,89.63190702,80.22468448,11.18033989,4.536598162,4.123105626,30.70077112,24.32778936,76.34400381,245.572,0.7387213509999999,0.40181471700000004,3.405628754,0.0017685510000000002,0.000384467,1.8718709690000002,0.002445213,0.003921569000000001,0.002137312,0.002224447,0.0021683970000000003,0.0013225679999999999,0.0006612839999999999,0.00016721299999999999,0.0006771860000000001,0.0025374860000000003
4,3,2426,6.97915027,0.9884362040000001,1,0.175720701,0.10529715699999999,204.8895625,184.3827541,10.81665383,3.481769702,3.0,40.69827271,31.06889936,-75.15400618,538.0740000000001,0.41104710299999997,0.929704029,5.385375092,0.001722415,0.000399846,0.34258125899999997,0.0028143020000000003,0.003921569000000001,0.002167142,0.002219858,0.00224529,0.001091888,0.000584391,0.000183742,0.000736107,0.0025836220000000003
4,3,6266,3.9786652360000003,0.9861713759999999,1,0.20292107899999998,0.130079782,248.0572067,241.5988411,19.10497317,6.376566886,5.656854248999999,50.16642743,41.11021033,60.77600443,778.028,0.59613738,1.334517586,13.34322248,0.001830065,0.000261438,0.504276601,0.0025836220000000003,0.003921569000000001,0.002155925,0.0021294639999999997,0.002076125,0.0009688580000000001,0.000615148,0.000207126,0.000524975,0.002337563
6,3,5681,9.848140476000001,0.9923900370000001,1,0.236471861,0.105862737,373.7893457,313.07666789999996,20.51828453,5.675950133,4.123105626,59.78022527,46.02622524,81.60443749,821.194,0.428528325,1.499715599,12.32352223,0.001830065,0.00035371,0.9816455959999999,0.0027066509999999996,0.003921569000000001,0.0022218010000000002,0.002169252,0.002214533,0.0012764319999999999,0.000461361,0.00016277299999999998,0.000647561,0.0025528639999999997
6,3,10255,8.59351046,0.988825046,1,0.104234428,0.069369791,467.4789477,439.6293893999999,28.44292531,6.414863723,5.0,75.24893155,69.69204551,51.88062065,1362.974,0.38375182399999996,2.2170705330000002,21.78320753,0.001845444,0.000276817,0.6964892840000001,0.00249135,0.003921569000000001,0.002142097,0.002124155,0.002153018,0.001445598,0.000845829,0.000133912,0.00048761400000000004,0.0023990770000000003
8,3,9200,5.603644462,0.962595278,1,0.141268964,0.087935599,348.9548848,357.36396010000004,26.248809499999997,7.486610872999999,5.656854248999999,96.50640899,94.54702538,62.98049764,1146.612,0.357698289,1.95394093,19.16827471,0.001830065,0.000246059,1.528830285,0.0025989999999999997,0.003921569000000001,0.002166232,0.002083508,0.002076125,0.0012764319999999999,0.000615148,0.00019046700000000002,0.000460995,0.002322184
4,4,5539,2.141443462,0.74424609,1,0.336063585,0.145433698,144.2723417,161.64467199999999,16.97056275,5.80501069,5.385164807000001,96.98443624,96.3602906,-43.65682968,691.812,0.516745965,1.1850827240000001,12.57753233,0.001968474,0.000261438,0.49521785,0.002860438,0.003921569000000001,0.002319144,0.002270723,0.002214533,0.001599385,0.000276817,0.000229383,0.000537165,0.00249135
4,4,3135,1.682156009,0.9184821059999999,1,0.42653061200000003,0.376498527,107.60822420000001,106.51291,21.02379604,7.155906465,6.32455532,48.31544949,42.55502184,-25.8959958,323.476,0.79740557,0.588327598,7.410427097,0.002060746,0.000292195,1.10768497,0.003506344,0.003921569000000001,0.002325406,0.002363773,0.002306805,0.000799692,0.000307574,0.000308505,0.000668913,0.0026797390000000004
6,4,6423,1.6191635119999999,0.888446126,1,0.46043010799999995,0.285473276,147.6462501,156.5247584,28.17800561,9.624490096,8.602325267000001,82.62430399,67.76681101,-76.15451842,531.73,0.7080416690000001,0.9249827490000001,14.66672897,0.002045367,0.000215302,1.285295391,0.003921569000000001,0.003921569000000001,0.002383976,0.00228347,0.002229912,0.0016609,0.000522876,0.000267019,0.000500405,0.002475971
